,GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,NAME_E,fire_per_tract,total_males,total_females,total_pop,pop_above_25,educ_pop_above_25_HS_or_above,educ_pop_above_25_bach_or_above,med_income_past_12_month,num_HH,total_fam_HH_householder,total_nonfam_HH_householder,total_pop_over16,total_pop_over16_labor_force,total_pop_over16_NOT_labor_force,total_housing_units,total_occupied_housing_units,total_vacant_housing_units,av_HH_size_total,av_HH_size_owner,av_HH_size_renter,med_yr_built,med_rent,med_house_value_owner,male_per_HH,female_per_HH,educ_HS_per_HH,educ_bach_per_HH,med_pop_per_HH,famHH_per_HH,non-famHH_per_HH,pop_over16_per_HH,pop_over16_labor_force_per_HH,pop_over16_NOT_labor_force_per_HH,occupied_HH_per_total_housing_units,vacancy_per_total_housing_unit,prediction,fire_score
1,G1700310231500,2011-2015,Illinois,17,Cook County,31,231500,"Census Tract 2315, Cook County, Illinois",156,3554,3473,7027,3883,2542,203,-0.915163723,1921,1301,620,4949,2392,2557,2474,1921,553,3.6,0.684644238,1.629314639,-0.686594065,-0.245851948,-0.363019753,0.500190934,0.873006369,-0.342347131,-1.140700678,0.683485462,0.550090111,-0.550090111,2.576262363,-0.520270775,0.506404084,-0.946604641,0.946604641,45.51872645,0.023695329
2,G1700310431400,2011-2015,Illinois,17,Cook County,31,431400,"Census Tract 4314, Cook County, Illinois",152,2480,3666,6146,4733,4078,648,-1.073264844,3241,974,2267,5278,2918,2360,4045,3241,804,1.74,-1.642382178,-1.179547286,0.043755118,-0.545476373,-1.212284799,-0.641674491,-0.769311608,-0.495682898,-0.900380083,-0.758540522,-1.675167029,1.675167029,1.628509719,-1.553528582,-0.086949573,-0.671874363,0.671874363,60.03723555,0.018524294
3,G1700310231200,2011-2015,Illinois,17,Cook County,31,231200,"Census Tract 2312, Cook County, Illinois",134,2711,2658,5369,3000,1828,228,-0.937900421,1632,1198,434,3806,2250,1556,2260,1632,628,3.28,0.233342145,1.126234891,-0.686594065,-0.336436076,-0.645342998,0.301341496,0.43806067,-0.821515825,-1.053938847,0.382122683,0.885698924,-0.885698924,2.332107843,-0.120290635,0.134742025,-1.549655397,1.549655397,40.16313853,0.024609766
4,G1700310330100,2011-2015,Illinois,17,Cook County,31,330100,"Census Tract 3301, Cook County, Illinois",130,8910,9025,17935,13853,13162,9993,1.265674018,10143,3655,6488,15300,12810,2490,11894,10143,1751,1.75,-1.444937513,-1.277368348,3.56271027,2.429863853,0.856555456,-0.522484046,-1.355001887,-0.402783419,1.101624849,-0.863409298,-1.32180638,1.32180638,1.508429459,-0.467071119,-0.561981895,-0.099942061,0.099942061,32.9693952,0.003250458
5,G1700310530200,2011-2015,Illinois,17,Cook County,31,530200,"Census Tract 5302, Cook County, Illinois",125,2255,2420,4675,2800,2138,220,-0.913768602,1319,871,448,3385,1846,1539,1988,1319,669,3.54,0.585921906,1.615340202,-0.686594065,0.276748795,-0.963626114,0.352364264,0.938066995,0.359658973,-0.984881868,0.590465269,0.450249044,-0.450249044,2.566338135,-0.057762081,0.344722776,-2.20032269,2.20032269,53.97283939,0.040919514
6,G1700310530501,2011-2015,Illinois,17,Cook County,31,530501,"Census Tract 5305.01, Cook County, Illinois",118,2045,2650,4695,2960,2565,531,-0.353608751,1585,984,601,3485,1777,1708,2088,1585,503,2.92,0.120516622,0.441487457,-0.686594065,-0.541992368,-1.064619795,-0.089072746,0.543008588,0.353459995,-0.55600848,0.113894287,0.216761046,-0.216761046,2.19873817,-0.891958367,0.256945576,-1.139395179,1.139395179,48.88122423,0.030839889
7,G1700310252102,2011-2015,Illinois,17,Cook County,31,252102,"Census Tract 2521.02, Cook County, Illinois",121,2686,3672,6358,3923,2996,373,-0.669056874,2085,1339,746,4726,2580,2146,2435,2085,350,3.05,0.656437858,0.441487457,-0.686594065,-0.231915928,-0.517570689,-0.091147715,0.759532009,-0.074282673,-0.954023841,0.185318026,0.343084521,-0.343084521,2.266666667,-0.543566137,0.20936573,-0.061330999,0.061330999,41.90582039,0.020098715
8,G1700310430101,2011-2015,Illinois,17,Cook County,31,430101,"Census Tract 4301.01, Cook County, Illinois",120,1471,2584,4055,2397,2197,500,-0.798840813,1645,849,796,3178,1961,1217,2190,1645,545,2.47,-0.048721663,-0.271208852,-0.620198685,-0.301596027,0.207747566,-0.505868266,0.297664088,-0.313354293,-0.63520524,-0.293011399,-0.401746367,0.401746367,1.931914894,-0.67933658,-0.075486824,-1.227693035,1.227693035,44.79999224,0.027234038
9,G1700310839100,2011-2015,Illinois,17,Cook County,31,839100,"Census Tract 8391, Cook County, Illinois",103,3169,2535,5704,3842,3596,2738,1.094752868,2743,676,2067,5355,3723,1632,3374,2743,631,1.6,-1.600072607,-1.459036034,2.102011905,2.562256041,0.671400374,-0.231075619,-1.271538202,-0.371346018,1.134680097,-0.608623967,-1.994602007,1.994602007,1.952242071,-0.184421525,-0.218040189,-0.541553079,0.541553079,39.21721799,0.014297199
10,G1700310491000,2011-2015,Illinois,17,Cook County,31,491000,"Census Tract 4910, Cook County, Illinois",108,2261,2524,4785,2600,1949,252,-0.976209684,1220,929,291,3401,1813,1588,1810,1220,590,3.92,0.966708047,2.369959823,-0.686594065,0.2802328,-1.230647286,0.50355965,1.506219816,0.304509094,-0.883505137,0.899700274,1.047585795,-1.047585795,2.787704918,0.201478568,0.477432338,-2.083241163,2.083241163,52.39860318,0.042949675
11,G1700310834300,2011-2015,Illinois,17,Cook County,31,834300,"Census Tract 8343, Cook County, Illinois",105,2686,3302,5988,4298,3821,940,-0.4512295,2370,1386,984,5127,2734,2393,2824,2370,454,2.52,0.064103861,-0.969930724,-0.421012544,-0.886908858,-0.633866443,-0.254200724,-0.133242791,0.33916722,-0.398940948,-0.242639942,0.004056174,-0.004056174,2.163291139,-0.794726114,0.190123594,-0.250260118,0.250260118,36.03606396,0.01520509
12,G1700310842600,2011-2015,Illinois,17,Cook County,31,842600,"Census Tract 8426, Cook County, Illinois",104,2583,2269,4852,3287,2517,557,0.387615156,1430,1118,312,3766,2581,1185,1670,1430,240,3.39,1.07953357,0.748925081,-0.686594065,-0.075135705,-0.302576565,0.454106788,0.336230129,0.687990279,-0.417077603,0.466580507,1.167746841,-1.167746841,2.633566434,1.156785215,0.011958912,-0.061058153,0.061058153,24.63698666,0.017228662
13,G1700310420700,2011-2015,Illinois,17,Cook County,31,420700,"Census Tract 4207, Cook County, Illinois",103,1667,1838,3505,2044,1529,211,-1.054110212,1249,695,554,2600,1148,1452,1813,1249,564,2.8,-1.247492847,0.637129581,-0.686594065,-0.029843641,-1.238298323,-0.042291265,0.056833703,-0.57604536,-0.979420659,-0.013719281,-0.163490539,0.163490539,2.081665332,-1.49721054,0.340527326,-1.918138881,1.918138881,64.40126938,0.051562265
14,G1700310290900,2011-2015,Illinois,17,Cook County,31,290900,"Census Tract 2909, Cook County, Illinois",102,1730,2039,3769,1966,1463,260,-1.087517699,1234,765,469,2576,1272,1304,1801,1234,567,3.05,-0.556436517,1.070337142,-0.686594065,-0.900844878,-0.949854249,0.028519618,0.495508563,-0.66709088,-0.872951628,0.189324463,0.2115334,-0.2115334,2.087520259,-1.162647904,0.236399951,-1.959619012,1.959619012,55.13115629,0.044676788
15,G1700310450300,2011-2015,Illinois,17,Cook County,31,450300,"Census Tract 4503, Cook County, Illinois",102,1594,2231,3825,2766,2434,621,-0.234910365,1420,950,470,3181,1779,1402,1607,1420,187,2.69,-0.203856757,0.134049833,-0.487407924,-0.005455606,-0.623920096,-0.265566016,0.29840687,0.57937107,-0.295180189,-0.105875219,0.501433604,-0.501433604,2.240140845,-0.497402766,0.168097538,0.242363994,-0.242363994,36.0767916,0.025406191
16,G1700310431302,2011-2015,Illinois,17,Cook County,31,431302,"Census Tract 4313.02, Cook County, Illinois",101,1779,2172,3951,2272,1808,350,-0.960448589,1506,834,672,2774,1661,1113,2297,1506,791,2.62,0.797469762,-0.145438915,-0.089035643,-0.663932542,-0.487731647,-0.203741034,-0.014379625,-0.631818284,-0.817611505,-0.163302098,-0.179204417,0.179204417,1.841965471,-0.946532845,-0.076248367,-2.287344942,2.287344942,49.13411124,0.032625572
17,G1700310440201,2011-2015,Illinois,17,Cook County,31,440201,"Census Tract 4402.01, Cook County, Illinois",101,2190,3088,5278,3280,2862,557,-0.50639333,2347,1126,1221,3946,2544,1402,2946,2347,599,2.25,-1.00773861,-0.466850976,-0.686594065,-0.325984062,-0.636926858,-0.464944869,-0.321374141,-0.587248666,-0.805066931,-0.469998192,-0.616447518,0.616447518,1.681295271,-1.003416584,-0.215688732,-0.72249863,0.72249863,47.8754546,0.020398575
18,G1700310252202,2011-2015,Illinois,17,Cook County,31,252202,"Census Tract 2522.02, Cook County, Illinois",100,2302,2781,5083,2790,2061,297,-0.947138383,1500,1102,398,3534,1704,1830,1817,1500,317,3.35,1.07953357,0.958541642,-0.686594065,-0.427020205,-0.386737966,0.168212581,0.984845126,-0.222700955,-0.905321635,0.463027691,0.889231437,-0.889231437,2.356,-0.847420412,0.39708664,-0.402250684,0.402250684,41.35796798,0.027571979
19,G1700310710200,2011-2015,Illinois,17,Cook County,31,710200,"Census Tract 7102, Cook County, Illinois",100,2408,2989,5397,3250,2665,232,-0.947779384,1927,1228,699,3857,2177,1680,2293,1927,366,2.8,0.416683621,0.134049833,-0.686594065,-0.312048042,-0.867988159,-0.131815808,0.249846811,-0.201525093,-1.103172277,-0.018236485,0.313867953,-0.313867953,2.001556824,-0.866191168,0.054425315,-0.237515394,0.237515394,43.40717013,0.022525776
20,G1700310842100,2011-2015,Illinois,17,Cook County,31,842100,"Census Tract 8421, Cook County, Illinois",100,3634,3477,7111,4199,3217,431,-0.783532191,2140,1544,596,5267,3179,2088,2329,2140,189,3.32,0.980811237,0.637129581,-0.686594065,-0.629092492,-0.652228931,0.340262685,0.428572133,0.082178194,-0.896648782,0.409191445,0.811430733,-0.811430733,2.461214953,0.199825948,0.156658706,0.633090415,-0.633090415,29.9561731,0.013998212
21,G1700310010100,2011-2015,Illinois,17,Cook County,31,10100,"Census Tract 101, Cook County, Illinois",99,1891,2215,4106,2994,2797,1181,-0.664984629,2208,793,1415,3437,2614,823,2625,2208,417,1.8,-1.34621518,-1.151598411,-0.686594065,-0.43050421,-0.262026072,-0.545647142,-1.079832551,-0.47562754,-0.046484485,-0.788603641,-1.328885618,1.328885618,1.556612319,-0.703967462,-0.436752211,-0.229093102,0.229093102,39.29021422,0.017794481
22,G1700310680900,2011-2015,Illinois,17,Cook County,31,680900,"Census Tract 6809, Cook County, Illinois",99,1404,1785,3189,2046,1480,115,-1.360848257,1503,686,817,2444,1236,1208,2151,1503,648,2.1,-0.711571612,-0.732365288,1.106081201,-1.183049279,-0.993465156,-0.463865353,-0.632223586,-1.140851653,-1.215043523,-0.574014064,-0.754317995,0.754317995,1.626081171,-1.78719182,-0.012591253,-1.80905599,1.80905599,55.20762626,0.036731621
23,G1700310530503,2011-2015,Illinois,17,Cook County,31,530503,"Census Tract 5305.03, Cook County, Illinois",98,2436,3033,5469,3418,2814,535,-0.389693361,1781,1093,688,4331,2375,1956,1974,1781,193,3.07,-0.189753567,2.523678635,0.309336639,0.499725111,-0.968216736,-0.007449345,0.618360299,0.26316606,-0.64427698,0.202791242,0.174704379,-0.174704379,2.431779899,-0.255591166,0.277275131,0.44868147,-0.44868147,46.10285617,0.025885938
24,G1700310431301,2011-2015,Illinois,17,Cook County,31,431301,"Census Tract 4313.01, Cook County, Illinois",96,1165,1872,3037,1743,1527,346,-1.020476489,1118,687,431,2232,1425,807,1859,1118,741,2.64,-0.612849279,0.134049833,-0.487407924,-0.461860255,-0.946793834,-0.350289903,0.549061452,-0.241965138,-0.621107238,-0.087215339,0.179370724,-0.179370724,1.996422182,-0.432141724,-0.093194652,-2.889150095,2.889150095,52.96827268,0.047377704
25,G1700310510300,2011-2015,Illinois,17,Cook County,31,510300,"Census Tract 5103, Cook County, Illinois",93,2651,3337,5988,3933,3507,552,-0.514009936,1898,1371,527,4867,2827,2040,2148,1898,250,3.15,0.289754907,1.000464954,0.176545878,0.377784938,-1.089103112,0.023034395,0.752289417,0.894577684,-0.66865109,0.271675607,0.816415957,-0.816415957,2.564278188,0.211657029,0.254202808,0.242126131,-0.242126131,36.75732038,0.019366344
26,G1700310690400,2011-2015,Illinois,17,Cook County,31,690400,"Census Tract 6904, Cook County, Illinois",96,1760,1894,3654,2574,2212,356,-0.936015123,1334,802,532,3025,1804,1221,1827,1334,493,2.73,-0.471817375,0.301743083,-0.686594065,-0.367792121,-0.825907458,-0.058423739,-0.068836318,0.447501705,-0.729750624,-0.068656563,0.100864622,-0.100864622,2.267616192,-0.199250841,0.097207351,-1.460505725,1.460505725,42.25577177,0.031675991
27,G1700310836800,2011-2015,Illinois,17,Cook County,31,836800,"Census Tract 8368, Cook County, Illinois",93,1136,1339,2475,1423,1102,116,-1.427436995,994,532,462,1810,583,1227,1203,994,209,2.45,-0.65515885,-0.187362228,-0.686594065,-0.79632473,0.094512226,-0.244176678,-0.245273245,-0.848510936,-1.112590394,-0.272634134,-0.288915245,0.288915245,1.820925553,-2.493826064,0.411264797,-0.39413923,0.39413923,50.7128509,0.051018965
28,G1700310010201,2011-2015,Illinois,17,Cook County,31,10201,"Census Tract 102.01, Cook County, Illinois",92,3554,3675,7229,4824,3811,1399,-0.403531451,2619,1487,1132,5765,3736,2029,3007,2619,388,2.69,-0.697468421,0.273794208,-0.620198685,0.071192503,-0.700430461,-0.018779168,-0.109077136,-0.031346889,-0.048268681,-0.05139855,-0.096573359,0.096573359,2.20122184,0.022998661,-0.041134385,0.101825749,-0.101825749,35.58994651,0.013589136
29,G1700310292500,2011-2015,Illinois,17,Cook County,31,292500,"Census Tract 2925, Cook County, Illinois",92,1616,2552,4168,2525,1863,335,-0.537538459,1305,925,380,3233,1789,1444,1661,1305,356,3.19,0.05000067,1.070337142,-0.686594065,-0.277207992,-0.761638752,-0.143705779,1.23128632,-0.096320609,-0.755656953,0.303574749,0.736514174,-0.736514174,2.477394636,-0.143647472,0.285398344,-0.844572086,0.844572086,43.82220284,0.033580232
30,G1700310681000,2011-2015,Illinois,17,Cook County,31,681000,"Census Tract 6810, Cook County, Illinois",92,1426,1653,3079,1948,1415,122,-1.332908135,1185,551,634,2325,968,1357,1638,1185,453,2.6,-0.626952469,0.134049833,-0.686594065,-0.80329274,-0.947558938,-0.180479575,-0.129147155,-0.647002879,-1.14763653,-0.183924681,-0.703765022,0.703765022,1.962025316,-1.80360447,0.323420419,-1.535016921,1.535016921,63.10068371,0.053249522
31,G1700310730201,2011-2015,Illinois,17,Cook County,31,730201,"Census Tract 7302.01, Cook County, Illinois",91,2606,3699,6305,3996,3677,859,-0.648582533,2372,1596,776,5016,2951,2065,2607,2372,235,2.66,0.233342145,-0.271208852,-0.221826403,-0.639544507,-0.794538209,-0.290704818,0.270055543,0.192783815,-0.486852744,-0.134989376,0.524091158,-0.524091158,2.114671164,-0.523527722,0.053196965,0.533329308,-0.533329308,33.43537429,0.014095858
32,G1700310250700,2011-2015,Illinois,17,Cook County,31,250700,"Census Tract 2507, Cook County, Illinois",90,2414,3166,5580,3708,3040,201,-0.803780295,2011,1384,627,4317,2402,1915,2270,2011,259,2.77,-0.062824853,0.231870895,-0.686594065,-0.211011898,-0.597141468,-0.183613694,0.306207049,0.102023837,-1.155293289,-0.039508875,0.614848833,-0.614848833,2.146693187,-0.672345127,0.133591728,0.267539254,-0.267539254,38.08256765,0.01893713
33,G1700310430200,2011-2015,Illinois,17,Cook County,31,430200,"Census Tract 4302, Cook County, Illinois",90,1972,2968,4940,3098,2711,786,-0.844012562,2203,1154,1049,3881,2294,1587,2565,2203,362,2.24,-0.514126946,-0.592620913,-0.155431023,-0.886908858,1.116690696,-0.504901982,-0.244857679,-0.560915198,-0.500506134,-0.475262808,-0.356135592,0.356135592,1.761688606,-1.131147449,-0.09461517,-0.032410167,0.032410167,33.12879287,0.015038036
34,G1700310440101,2011-2015,Illinois,17,Cook County,31,440101,"Census Tract 4401.01, Cook County, Illinois",88,1699,2253,3952,2502,1995,164,-0.897630448,1673,844,829,3012,1882,1130,2435,1673,762,2.34,-1.064151372,-0.313132165,-0.686594065,-0.886908858,-1.249009774,-0.37818014,-0.246243641,-0.650833491,-1.160195289,-0.37717739,-0.470421729,0.470421729,1.800358637,-0.880603505,-0.138850875,-1.938662564,1.938662564,54.27877143,0.032443976
35,G1700310834200,2011-2015,Illinois,17,Cook County,31,834200,"Census Tract 8342, Cook County, Illinois",87,1838,2537,4375,2725,2375,537,-0.950230272,1874,1032,842,3389,2167,1222,2473,1874,599,2.32,-0.500023756,-0.466850976,-0.686594065,-0.545476373,-0.87028347,-0.41475663,-0.228999571,-0.474247052,-0.679561731,-0.399806565,-0.197463323,0.197463323,1.808431163,-0.786445694,-0.161833082,-1.153991714,1.153991714,44.85643428,0.023936198
36,G1700310251400,2011-2015,Illinois,17,Cook County,31,251400,"Census Tract 2514, Cook County, Illinois",84,1883,2459,4342,3078,2313,491,-0.801932703,1631,940,691,3441,1753,1688,1828,1631,197,2.66,0.839779333,-0.369029914,-0.686594065,-0.663932542,-0.2888047,-0.231915505,0.144404108,-0.118579256,-0.642621715,-0.131652915,-0.046013492,0.046013492,2.10974862,-1.03079133,0.214966837,0.337760483,-0.337760483,38.25625524,0.023455705
37,G1700310251500,2011-2015,Illinois,17,Cook County,31,251500,"Census Tract 2515, Cook County, Illinois",84,1841,2081,3922,2529,1889,193,-0.933413411,1253,756,497,3075,1677,1398,1664,1253,411,3.07,1.164152712,0.287768645,-0.686594065,-0.381728141,-0.647638309,0.099384904,0.51604776,0.092344941,-1.017419569,0.251365414,0.113579372,-0.113579372,2.454110136,-0.241007085,0.294461278,-1.207019487,1.207019487,44.10214223,0.03519724
38,G1700310320400,2011-2015,Illinois,17,Cook County,31,320400,"Census Tract 3204, Cook County, Illinois",84,1325,1670,2995,924,919,813,4.171446688,574,288,286,2945,1516,1429,925,574,351,1.69,-1.543659846,-1.389163847,3.36352413,3.896629937,3.043221673,0.98254653,3.545964729,0.312773836,2.200852653,1.960258193,-0.486611164,0.486611164,5.130662021,3.662344865,1.646516602,-2.676762727,2.676762727,27.21581365,0.047414309
39,G1700310251800,2011-2015,Illinois,17,Cook County,31,251800,"Census Tract 2518, Cook County, Illinois",83,2471,2623,5094,2686,1878,105,-1.050716675,1600,1122,478,3537,1842,1695,1983,1600,383,3.17,-0.260269519,0.930592767,-0.686594065,-0.284176002,-0.459422812,0.178430843,0.464022403,-0.694980402,-1.242803428,0.295291143,0.691845277,-0.691845277,2.210625,-0.801726946,0.239006883,-0.609493816,0.609493816,42.5368937,0.026585559
40,G1700310500100,2011-2015,Illinois,17,Cook County,31,500100,"Census Tract 5001, Cook County, Illinois",82,1336,1748,3084,2323,2063,430,-0.316694608,1419,785,634,2539,1525,1014,1542,1419,123,2.17,-1.078254562,-0.452876539,0.7741043,-0.371276126,-0.816726215,-0.456101544,-0.524895477,-0.034400644,-0.637553438,-0.531772256,-0.18262079,0.18262079,1.789288231,-1.031091687,-0.100316926,0.648448337,-0.648448337,37.24131717,0.026244762
41,G1700310838700,2011-2015,Illinois,17,Cook County,31,838700,"Census Tract 8387, Cook County, Illinois",82,2101,2635,4736,2599,1708,172,-1.22571007,1453,977,476,3231,1449,1782,1958,1453,505,3.26,0.487199573,0.930592767,-0.686594065,-0.367792121,-0.725678881,0.074861184,0.886539354,-0.69085555,-1.108318625,0.357266909,0.521444969,-0.521444969,2.223675155,-1.263164811,0.403412862,-1.328192829,1.328192829,53.84085931,0.037054962
42,G1700310251600,2011-2015,Illinois,17,Cook County,31,251600,"Census Tract 2516, Cook County, Illinois",81,1870,1736,3606,2263,1746,188,-0.599979541,1063,715,348,2894,1214,1680,1305,1063,242,3.37,0.642334667,1.126234891,-0.686594065,-0.277207992,-0.897827201,0.404510184,0.448828646,0.41059257,-0.959221973,0.465990317,0.522760535,-0.522760535,2.722483537,-0.829290443,0.751808008,-0.524047177,0.524047177,44.79642233,0.042141507
43,G1700310251300,2011-2015,Illinois,17,Cook County,31,251300,"Census Tract 2513, Cook County, Illinois",80,2095,2787,4882,3380,2585,294,-0.722863289,1597,1187,410,4098,2324,1774,1870,1597,273,3.04,0.162826193,0.720976206,-0.686594065,-0.109975755,-0.746336679,-0.066323611,0.720695855,0.35431719,-0.94077111,0.191523823,0.940041659,-0.940041659,2.566061365,0.109081825,0.289649301,-0.086319369,0.086319369,35.64648553,0.022320905
44,G1700310710400,2011-2015,Illinois,17,Cook County,31,710400,"Census Tract 7104, Cook County, Illinois",80,2072,2840,4912,3517,3032,494,-0.73146025,1786,996,790,4004,2182,1822,2209,1786,423,2.75,0.247445336,-0.17338779,-0.022640263,-0.09952374,-0.874108988,-0.225991959,0.344559143,0.54060729,-0.704946692,-0.059530014,-0.156251043,0.156251043,2.241881299,-0.590564633,0.200410105,-0.591160431,0.591160431,45.53618455,0.025496184
45,G1700310834000,2011-2015,Illinois,17,Cook County,31,834000,"Census Tract 8340, Cook County, Illinois",80,1228,1835,3063,1912,1637,245,-0.600017247,1055,731,324,2397,1388,1009,1492,1055,437,2.9,0.317961288,0.37161527,-0.155431023,-0.123911775,-0.433409289,-0.221943248,0.706595342,0.19629822,-0.818060792,0.065740399,0.642470158,-0.642470158,2.272037915,-0.309166932,0.137661745,-1.716300848,1.716300848,43.00440107,0.040762465
46,G1700310031200,2011-2015,Illinois,17,Cook County,31,31200,"Census Tract 312, Cook County, Illinois",79,3013,2050,5063,4107,3120,1583,-1.091099766,2619,855,1764,4587,2924,1663,3122,2619,503,1.82,-1.120564133,-1.179547286,-0.686594065,-1.642937932,0.125116372,-0.236196481,-1.614739112,-0.653602857,0.130844149,-0.728374703,-1.521968089,1.521968089,1.751431844,-0.905977973,-0.178667952,-0.254141254,0.254141254,33.01364557,0.012605439
47,G1700310430500,2011-2015,Illinois,17,Cook County,31,430500,"Census Tract 4305, Cook County, Illinois",79,1713,1743,3456,2131,1696,299,-1.170847887,1553,650,903,2542,1399,1143,2167,1553,614,2.22,0.585921906,-0.788263037,-0.686594065,-0.778904705,-0.546644628,-0.286099523,-0.790638382,-0.887595312,-0.919265564,-0.489200001,-0.978043087,0.978043087,1.636831938,-1.55203736,-0.079249029,-1.610290815,1.610290815,52.62074306,0.033883286
48,G1700310440102,2011-2015,Illinois,17,Cook County,31,440102,"Census Tract 4401.02, Cook County, Illinois",79,1490,1529,3019,1958,1643,245,-1.063536704,1541,708,833,2376,1484,892,2013,1541,472,1.96,-0.584642898,-0.969930724,0.442127399,-0.601220453,-0.979693291,-0.429371094,-1.106422577,-0.948653344,-1.004781133,-0.707143838,-0.736470965,0.736470965,1.541855938,-1.365746022,-0.233908794,-1.068113087,1.068113087,46.86044525,0.030409114
49,G1700310690900,2011-2015,Illinois,17,Cook County,31,690900,"Census Tract 6909, Cook County, Illinois",78,1977,2454,4431,3014,2676,581,-0.714077799,1665,951,714,3554,2017,1537,2242,1665,577,2.66,-0.739777992,0.287768645,-0.487407924,-0.541992368,-0.909303756,-0.19730749,0.062406808,0.32730639,-0.520486718,-0.132397139,-0.076506653,0.076506653,2.134534535,-0.62146574,0.104914035,-1.322015568,1.322015568,46.00469239,0.027630446
50,G1700310710800,2011-2015,Illinois,17,Cook County,31,710800,"Census Tract 7108, Cook County, Illinois",78,1945,2822,4767,3313,2996,852,-0.450249145,1845,1149,696,3880,2111,1769,2235,1845,390,2.58,0.430786811,-0.578646476,-0.553803305,-0.573348413,-0.647638309,-0.337489953,0.197488071,0.366553416,-0.232809031,-0.195853061,0.22824413,-0.22824413,2.10298103,-0.822930386,0.140033049,-0.402619529,0.402619529,38.28247435,0.020749309
51,G1700310032100,2011-2015,Illinois,17,Cook County,31,32100,"Census Tract 321, Cook County, Illinois",77,3396,3401,6797,5479,5142,3756,-0.02869643,3920,1062,2858,6232,4611,1621,4409,3920,489,1.7,-1.00773861,-1.445061597,-0.686594065,0.001512404,0.630849881,-0.535232017,-1.408811117,-0.369550514,1.032667125,-0.891474408,-1.850045231,1.850045231,1.589795918,-0.726743189,-0.396613582,0.302904857,-0.302904857,33.63665208,0.008580779
52,G1700310836100,2011-2015,Illinois,17,Cook County,31,836100,"Census Tract 8361, Cook County, Illinois",77,772,1095,1867,990,861,210,-1.095360541,681,383,298,1341,892,449,899,681,218,2.74,-0.965429039,0.37161527,0.442127399,-1.263181393,0.000251457,-0.253891613,0.387714782,-0.481382309,-0.623940102,-0.066670655,-0.128267789,0.128267789,1.969162996,-0.326549437,-0.154704447,-1.157050992,1.157050992,38.47440064,0.056496917
53,G1700310460500,2011-2015,Illinois,17,Cook County,31,460500,"Census Tract 4605, Cook County, Illinois",76,1805,2963,4768,3418,3086,836,-0.481168038,2152,1222,930,4055,2246,1809,2665,2152,513,2.22,-0.767984373,-0.662493101,-0.686594065,-0.904328883,-0.78841738,-0.56425211,-0.173016318,-0.081158934,-0.419715389,-0.497186581,-0.096160437,0.096160437,1.88429368,-1.124037279,0.023711734,-0.60232182,0.60232182,41.95552492,0.019496062
54,G1700310660900,2011-2015,Illinois,17,Cook County,31,660900,"Census Tract 6609, Cook County, Illinois",76,1690,2703,4393,2672,2333,214,-0.798991637,1285,851,434,3431,2093,1338,1779,1285,494,3.34,1.530835663,0.595206269,-0.288221784,-0.447924235,-0.934552176,-0.06280775,1.590302472,0.818705773,-0.985534677,0.487592978,0.461519606,-0.461519606,2.670038911,0.629134054,0.221164302,-1.547524926,1.547524926,44.51238905,0.034639991
55,G1700310671500,2011-2015,Illinois,17,Cook County,31,671500,"Census Tract 6715, Cook County, Illinois",76,1370,1642,3012,1839,1369,111,-0.986691943,935,649,286,2338,1283,1055,1230,935,295,3.21,0.473096382,0.888669455,-0.686594065,-0.40960018,-1.255895707,0.095139965,0.747395423,-0.010036944,-1.107449767,0.32610204,0.649715768,-0.649715768,2.500534759,-0.139718472,0.306881283,-1.127600942,1.127600942,44.98388894,0.048111111
56,G1700310842400,2011-2015,Illinois,17,Cook County,31,842400,"Census Tract 8424, Cook County, Illinois",80,1499,1603,3102,2484,2012,712,-0.509560632,1303,699,604,2646,1494,1152,1472,1303,169,2.38,-0.739777992,-0.131464478,0.043755118,-0.245851948,-0.844269946,-0.236214369,-0.528815765,0.178539487,-0.01701777,-0.362086041,-0.281572669,0.281572669,2.030698388,-0.815705239,0.066522636,0.259629714,-0.259629714,37.60654224,0.028861506
57,G1700310230700,2011-2015,Illinois,17,Cook County,31,230700,"Census Tract 2307, Cook County, Illinois",75,2219,2974,5193,3121,1939,260,-0.632105026,1544,1148,396,3841,2538,1303,1917,1544,373,3.35,0.853882523,0.958541642,-0.686594065,-0.176171849,-0.597141468,0.065601406,1.15996727,-0.501401215,-0.980800838,0.442297911,0.941546048,-0.941546048,2.487694301,0.674044317,0.026957999,-0.625395214,0.625395214,35.65508007,0.023092668
58,G1700310460302,2011-2015,Illinois,17,Cook County,31,460302,"Census Tract 4603.02, Cook County, Illinois",75,1688,1931,3619,2035,1430,265,-1.074697671,1165,644,521,2639,1503,1136,1635,1165,470,3.11,0.064103861,0.846746143,-0.553803305,-0.660448537,-0.975867773,0.077969492,0.508031723,-0.568289675,-0.830195291,0.232006457,-0.185082651,0.185082651,2.265236052,-0.385605524,0.156074474,-1.65601216,1.65601216,51.18256108,0.043933529
