,GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,NAME_E,fire_per_tract,total_males,total_females,total_pop,pop_above_25,educ_pop_above_25_HS_or_above,educ_pop_above_25_bach_or_above,med_income_past_12_month,num_HH,total_fam_HH_householder,total_nonfam_HH_householder,total_pop_over16,total_pop_over16_labor_force,total_pop_over16_NOT_labor_force,total_housing_units,total_occupied_housing_units,total_vacant_housing_units,av_HH_size_total,av_HH_size_owner,av_HH_size_renter,med_yr_built,med_rent,med_house_value_owner,male_per_HH,female_per_HH,educ_HS_per_HH,educ_bach_per_HH,med_pop_per_HH,famHH_per_HH,non-famHH_per_HH,pop_over16_per_HH,pop_over16_labor_force_per_HH,pop_over16_NOT_labor_force_per_HH,occupied_HH_per_total_housing_units,vacancy_per_total_housing_unit,prediction,fire_score
440,G1700310062800,2011-2015,Illinois,17,Cook County,31,62800,"Census Tract 628, Cook County, Illinois",25,1628,1872,3500,2514,2467,2202,2.840463746,1532,634,898,2992,2607,385,1611,1532,79,2.28,-0.542333327,-0.648518663,0.906895061,2.565740046,2.26587637,-0.328582811,-0.548971144,0.33463199,2.254290158,-0.440720756,-1.005844304,1.005844304,1.953002611,0.847573853,-0.556258071,0.989395062,-0.989395062,22.06029968,0.014399673
441,G1700310071100,2011-2015,Illinois,17,Cook County,31,71100,"Census Tract 711, Cook County, Illinois",25,1279,1582,2861,1609,1609,1441,1.93906489,1057,450,607,2530,1973,557,1124,1057,67,2.31,-0.387198232,-0.704416413,-0.686594065,1.872423061,4.777711636,-0.17347728,0.117770823,0.126898414,2.065518387,-0.095188797,-0.935582194,0.935582194,2.393566698,1.341681923,-0.284968485,0.872109246,-0.872109246,16.43737304,0.015550968
442,G1700310150700,2011-2015,Illinois,17,Cook County,31,150700,"Census Tract 1507, Cook County, Illinois",25,2404,2173,4577,3189,2653,731,0.461217204,1509,1123,386,3684,2534,1150,1666,1509,157,3.03,0.289754907,0.581231831,-0.686594065,-0.005455606,0.056257044,0.229723556,-0.019729371,0.683221729,-0.175094469,0.172003369,0.94555171,-0.94555171,2.441351889,0.780339016,-0.053563341,0.487885137,-0.487885137,23.56505328,0.015616337
443,G1700310191302,2011-2015,Illinois,17,Cook County,31,191302,"Census Tract 1913.02, Cook County, Illinois",25,2864,2604,5468,3154,1884,201,-0.334868885,1412,1112,300,3873,2508,1365,1541,1412,129,3.87,1.855209042,1.46162139,-0.354617164,0.161776631,-0.441060325,0.687804043,0.961045948,-0.316384169,-1.047194583,0.859091602,1.20151747,-1.20151747,2.742917847,1.07081816,0.14781406,0.604673257,-0.604673257,28.01529866,0.019840863
444,G1700310242300,2011-2015,Illinois,17,Cook County,31,242300,"Census Tract 2423, Cook County, Illinois",25,1669,1480,3149,2644,2577,1915,0.902150787,1588,595,993,2866,2473,393,1724,1588,136,1.98,-1.050048181,-0.955956287,-0.686594065,0.980517794,1.669095527,-0.340850649,-1.25256337,0.364071695,1.664305902,-0.687596609,-1.237113825,1.237113825,1.804785894,0.41493211,-0.560021845,0.658214792,-0.658214792,23.28260803,0.014661592
445,G1700310271500,2011-2015,Illinois,17,Cook County,31,271500,"Census Tract 2715, Cook County, Illinois",25,675,730,1405,815,673,81,-0.863921313,428,323,105,1065,497,568,518,428,90,3.28,0.247445336,1.126234891,-0.686594065,0.095580537,-0.288039596,0.21287767,0.624746359,0.245285896,-0.927623258,0.376296051,1.007404591,-1.007404591,2.488317757,-0.771869028,0.502492307,-0.394281673,0.394281673,39.84484684,0.093095437
446,G1700310300800,2011-2015,Illinois,17,Cook County,31,300800,"Census Tract 3008, Cook County, Illinois",25,2323,1926,4249,2144,805,114,-0.857473593,1108,907,201,2942,1603,1339,1391,1108,283,3.83,1.953931375,1.51751914,-0.686594065,-0.824196769,-0.78000124,0.759630218,0.704000401,-1.74971591,-1.147803516,0.828245239,1.384963423,-1.384963423,2.655234657,0.0836803,0.38575288,-0.7238768,0.7238768,33.38339801,0.030129421
447,G1700310301200,2011-2015,Illinois,17,Cook County,31,301200,"Census Tract 3012, Cook County, Illinois",25,1692,1702,3394,1951,1024,254,-0.771051515,1041,800,241,2379,1676,703,1351,1041,310,3.24,0.585921906,0.888669455,-0.686594065,-0.932200923,-0.583369603,0.26366981,0.45332416,-1.143275485,-0.788057303,0.357973677,1.089030539,-1.089030539,2.285302594,0.572793621,-0.138970109,-1.01245585,1.01245585,30.42142102,0.029223267
448,G1700310410700,2011-2015,Illinois,17,Cook County,31,410700,"Census Tract 4107, Cook County, Illinois",25,1225,871,2096,1426,1359,874,-0.101393535,1061,393,668,1927,1251,676,1143,1061,82,1.95,-0.683365231,-1.179547286,-0.686594065,0.276748795,0.127411683,-0.231847385,-1.522083862,-0.44235015,0.689991905,-0.693737989,-1.262394184,1.262394184,1.816211122,-0.718351073,-0.176542575,0.737494478,-0.737494478,31.80680367,0.029978137
449,G1700310430900,2011-2015,Illinois,17,Cook County,31,430900,"Census Tract 4309, Cook County, Illinois",25,608,803,1411,969,815,203,-0.959581352,648,320,328,1160,560,600,822,648,174,2.18,-1.092357753,-0.508774289,-0.288221784,-0.517604334,-0.579544085,-0.45950804,-0.507073784,-0.496950743,-0.611443878,-0.528409928,-0.533363626,0.533363626,1.790123457,-1.661820209,0.107672425,-0.815170556,0.815170556,48.99217604,0.07560521
450,G1700310440800,2011-2015,Illinois,17,Cook County,31,440800,"Census Tract 4408, Cook County, Illinois",25,778,841,1619,1066,902,178,-1.082766748,705,366,339,1264,727,537,868,705,163,2.3,-0.923119468,-0.369029914,-0.686594065,-0.604704458,-1.053143241,-0.285552528,-0.619403397,-0.445733305,-0.766422491,-0.431013782,-0.383792512,0.383792512,1.792907801,-1.161414903,-0.053949104,-0.550092561,0.550092561,45.4316247,0.064442021
451,G1700310480300,2011-2015,Illinois,17,Cook County,31,480300,"Census Tract 4803, Cook County, Illinois",25,452,750,1202,926,846,290,0.133024464,533,289,244,1032,578,454,653,533,120,2.24,-0.711571612,-0.732365288,0.110150498,-0.252819958,-0.711141912,-0.554489551,-0.099559457,0.280219525,-0.022986656,-0.464815739,-0.247552068,0.247552068,1.936210131,-1.001945926,0.034703732,-0.505480311,0.505480311,42.01954943,0.078835928
452,G1700310611100,2011-2015,Illinois,17,Cook County,31,611100,"Census Tract 6111, Cook County, Illinois",25,1179,1145,2324,1328,751,37,-1.025755325,707,465,242,1673,1090,583,925,707,218,3.29,1.939828184,0.287768645,-0.686594065,-1.183049279,-0.950619352,0.30813834,0.415838797,-0.957983345,-1.2766885,0.379912803,0.43465433,-0.43465433,2.366336634,0.368252309,0.007962955,-1.081424996,1.081424996,36.02750982,0.050958288
453,G1700310611700,2011-2015,Illinois,17,Cook County,31,611700,"Census Tract 6117, Cook County, Illinois",25,551,716,1267,799,588,63,-0.771051515,438,289,149,949,617,332,739,438,301,2.89,0.487199573,0.078152084,-0.686594065,-0.440956225,-0.727209088,-0.122995572,0.452685505,-0.297072874,-1.043410348,0.057044452,0.447110178,-0.447110178,2.166666667,-0.030403862,-0.057601556,-2.985744077,2.985744077,46.87967699,0.107031226
454,G1700310630500,2011-2015,Illinois,17,Cook County,31,630500,"Census Tract 6305, Cook County, Illinois",25,3473,2932,6405,3696,1669,146,-0.386978532,1473,1230,243,4695,3377,1318,1680,1473,207,4.34,2.377027087,2.104445512,-0.686594065,-0.636060502,-0.863397537,1.034552712,1.316074029,-0.790941503,-1.157416527,1.248519461,1.482062598,-1.482062598,3.187372709,2.618092317,0.077012724,0.166378441,-0.166378441,23.13915796,0.015708865
455,G1700310650200,2011-2015,Illinois,17,Cook County,31,650200,"Census Tract 6502, Cook County, Illinois",25,3979,3674,7653,4495,3045,466,-0.057541495,2152,1634,518,5652,3771,1881,2300,2152,148,3.56,1.43211333,0.525334082,0.242941258,-0.378244136,-0.617034163,0.499032747,0.628729956,-0.126092214,-0.858048049,0.600185653,1.034698714,-1.034698714,2.626394052,0.999265051,0.056638823,0.819525012,-0.819525012,25.05408058,0.011642231
456,G1700310700302,2011-2015,Illinois,17,Cook County,31,700302,"Census Tract 7003.02, Cook County, Illinois",25,2699,2615,5314,3391,2844,729,0.286148398,1675,1242,433,4271,2757,1514,1812,1675,137,3.17,0.487199573,0.762899518,0.64131354,0.586825235,-0.359959339,0.248916625,0.274303471,0.541225374,-0.300534169,0.286112888,0.929550607,-0.929550607,2.549850746,0.680599504,0.085976424,0.694599329,-0.694599329,26.57731322,0.015867053
457,G1700310831900,2011-2015,Illinois,17,Cook County,31,831900,"Census Tract 8319, Cook County, Illinois",25,1375,1306,2681,2055,2019,1844,1.903017985,1276,468,808,2301,2063,238,1499,1276,223,2.1,-0.697468421,-0.969930724,-0.686594065,1.677318784,1.72418299,-0.31287596,-1.030472554,0.268536653,2.274186609,-0.590924943,-1.283860257,1.283860257,1.803291536,0.593110782,-0.620016602,-0.117126163,0.117126163,25.22004557,0.019764926
458,G1700310843800,2011-2015,Illinois,17,Cook County,31,843800,"Census Tract 8438, Cook County, Illinois",25,944,909,1853,1187,949,84,-0.43328146,580,356,224,1350,835,515,899,580,319,3.19,0.487199573,0.846746143,-0.686594065,0.308104839,-0.490792062,0.266012705,0.288978354,0.395700685,-1.040881383,0.30435881,0.17525333,-0.17525333,2.327586207,0.062419412,0.070279595,-2.403585815,2.403585815,47.83508045,0.082474277
